"";"Xdiff";"Vdiff";"ICC"
"2";0;0;0,27
"3";0;0,1;0
"4";0;0,2;0,12
"5";0;0,3;0
"6";0;0,4;0,08
"7";0;0,5;0,27
"8";0;0,6;0,01
"9";0;0,7;0
"10";0;0,8;0
"11";0;0,9;0
"12";0;1;0
"13";0;1,1;0,07
"14";0;1,2;0
"15";0;1,3;0,04
"16";0;1,4;0,6
"17";0;1,5;0
"18";0;1,6;0,06
"19";0;1,7;0,26
"20";0;1,8;0,12
"21";0;1,9;0,16
"22";0;2;0
"23";0;2,1;0
"24";0;2,2;0
"25";0;2,3;0
"26";0;2,4;0
"27";0;2,5;0,2
"28";0;2,6;0,23
"29";0;2,7;0
"30";0;2,8;0,31
"31";0;2,9;0,28
"32";0;3;0,11
"33";0;3,1;0,18
"34";0;3,2;0
"35";0;3,3;0
"36";0;3,4;0,15
"37";0;3,5;0
"38";0;3,6;0
"39";0;3,7;0
"40";0;3,8;0
"41";0;3,9;0
"42";0;4;0,31
"43";0;4,1;0
"44";0;4,2;0,43
"45";0;4,3;0
"46";0;4,4;0,18
"47";0;4,5;0,01
"48";0;4,6;0
"49";0;4,7;0,12
"50";0;4,8;0
"51";0;4,9;0
"52";0;5;0
"53";0,1;0;0,78
"54";0,1;0,1;0,36
"55";0,1;0,2;0,24
"56";0,1;0,3;0,21
"57";0,1;0,4;0
"58";0,1;0,5;0
"59";0,1;0,6;0
"60";0,1;0,7;0,22
"61";0,1;0,8;0
"62";0,1;0,9;0
"63";0,1;1;0,31
"64";0,1;1,1;0,09
"65";0,1;1,2;0
"66";0,1;1,3;0
"67";0,1;1,4;0
"68";0,1;1,5;0,05
"69";0,1;1,6;0
"70";0,1;1,7;0,02
"71";0,1;1,8;0,03
"72";0,1;1,9;0
"73";0,1;2;0
"74";0,1;2,1;0
"75";0,1;2,2;0
"76";0,1;2,3;0,05
"77";0,1;2,4;0
"78";0,1;2,5;0
"79";0,1;2,6;0
"80";0,1;2,7;0
"81";0,1;2,8;0
"82";0,1;2,9;0
"83";0,1;3;0
"84";0,1;3,1;0,16
"85";0,1;3,2;0
"86";0,1;3,3;0
"87";0,1;3,4;0
"88";0,1;3,5;0,66
"89";0,1;3,6;0
"90";0,1;3,7;0,09
"91";0,1;3,8;0
"92";0,1;3,9;0
"93";0,1;4;0
"94";0,1;4,1;0
"95";0,1;4,2;0,29
"96";0,1;4,3;0
"97";0,1;4,4;0,2
"98";0,1;4,5;0
"99";0,1;4,6;0,68
"100";0,1;4,7;0
"101";0,1;4,8;0
"102";0,1;4,9;0
"103";0,1;5;0,72
"104";0,2;0;0
"105";0,2;0,1;0
"106";0,2;0,2;0
"107";0,2;0,3;0
"108";0,2;0,4;0
"109";0,2;0,5;0
"110";0,2;0,6;0
"111";0,2;0,7;0
"112";0,2;0,8;0
"113";0,2;0,9;0,03
"114";0,2;1;0
"115";0,2;1,1;0
"116";0,2;1,2;0,18
"117";0,2;1,3;0
"118";0,2;1,4;0
"119";0,2;1,5;0,08
"120";0,2;1,6;0,21
"121";0,2;1,7;0
"122";0,2;1,8;0,1
"123";0,2;1,9;0
"124";0,2;2;0,3
"125";0,2;2,1;0
"126";0,2;2,2;0,06
"127";0,2;2,3;0
"128";0,2;2,4;0,13
"129";0,2;2,5;0
"130";0,2;2,6;0,35
"131";0,2;2,7;0
"132";0,2;2,8;0,24
"133";0,2;2,9;0
"134";0,2;3;0,47
"135";0,2;3,1;0
"136";0,2;3,2;0,27
"137";0,2;3,3;0
"138";0,2;3,4;0
"139";0,2;3,5;0,23
"140";0,2;3,6;0,08
"141";0,2;3,7;0
"142";0,2;3,8;0
"143";0,2;3,9;0,54
"144";0,2;4;0,49
"145";0,2;4,1;0
"146";0,2;4,2;0,12
"147";0,2;4,3;0,01
"148";0,2;4,4;0
"149";0,2;4,5;0
"150";0,2;4,6;0,01
"151";0,2;4,7;0
"152";0,2;4,8;0
"153";0,2;4,9;0
"154";0,2;5;0
"155";0,3;0;0,32
"156";0,3;0,1;0,34
"157";0,3;0,2;0,15
"158";0,3;0,3;0,09
"159";0,3;0,4;0
"160";0,3;0,5;0
"161";0,3;0,6;0,08
"162";0,3;0,7;0
"163";0,3;0,8;0
"164";0,3;0,9;0,31
"165";0,3;1;0,03
"166";0,3;1,1;0,55
"167";0,3;1,2;0,07
"168";0,3;1,3;0
"169";0,3;1,4;0,4
"170";0,3;1,5;0
"171";0,3;1,6;0
"172";0,3;1,7;0,01
"173";0,3;1,8;0
"174";0,3;1,9;0,44
"175";0,3;2;0,26
"176";0,3;2,1;0
"177";0,3;2,2;0
"178";0,3;2,3;0
"179";0,3;2,4;0
"180";0,3;2,5;0,1
"181";0,3;2,6;0,05
"182";0,3;2,7;0,04
"183";0,3;2,8;0,49
"184";0,3;2,9;0
"185";0,3;3;0,03
"186";0,3;3,1;0
"187";0,3;3,2;0
"188";0,3;3,3;0
"189";0,3;3,4;0,57
"190";0,3;3,5;0
"191";0,3;3,6;0
"192";0,3;3,7;0
"193";0,3;3,8;0
"194";0,3;3,9;0
"195";0,3;4;0,31
"196";0,3;4,1;0,06
"197";0,3;4,2;0,15
"198";0,3;4,3;0,1
"199";0,3;4,4;0
"200";0,3;4,5;0
"201";0,3;4,6;0
"202";0,3;4,7;0,21
"203";0,3;4,8;0
"204";0,3;4,9;0
"205";0,3;5;0
"206";0,4;0;0
"207";0,4;0,1;0,86
"208";0,4;0,2;0,45
"209";0,4;0,3;0
"210";0,4;0,4;0,6
"211";0,4;0,5;0
"212";0,4;0,6;0,5
"213";0,4;0,7;0,61
"214";0,4;0,8;0
"215";0,4;0,9;0
"216";0,4;1;0
"217";0,4;1,1;0,01
"218";0,4;1,2;0,19
"219";0,4;1,3;0,11
"220";0,4;1,4;0
"221";0,4;1,5;0
"222";0,4;1,6;0
"223";0,4;1,7;0,27
"224";0,4;1,8;0,03
"225";0,4;1,9;0
"226";0,4;2;0,54
"227";0,4;2,1;0
"228";0,4;2,2;0,27
